Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),xg (g),yg (g),zg (g)
0,1620295611651,-0.12,-0.523,-0.542
1,1620295611655,-0.07,-0.577,-0.553
2,1620295611655,-0.09,-0.529,-0.529
3,1620295611655,-0.02,-0.573,-0.573
4,1620295611655,-0.09,-0.552,-0.538
5,1620295611655,0.0,-0.543,-0.581
6,1620295611655,0.02,-0.581,-0.568
7,1620295611655,-0.05,-0.546,-0.535
8,1620295611655,-0.01,-0.517,-0.573
9,1620295611655,-0.1,-0.521,-0.529
10,1620295611656,-0.01,-0.545,-0.567
11,1620295611656,-0.01,-0.575,-0.581
12,1620295611656,-0.09,-0.564,-0.532
13,1620295611657,-0.02,-0.536,-0.576
14,1620295611657,-0.04,-0.57,-0.538
15,1620295611657,-0.06,-0.523,-0.551
16,1620295611657,0.02,-0.58,-0.586
17,1620295611657,-0.07,-0.566,-0.545
18,1620295611657,-0.04,-0.541,-0.568
19,1620295611657,-0.03,-0.579,-0.551
20,1620295611657,-0.1,-0.521,-0.535
21,1620295611658,0.06,-0.568,-0.587
22,1620295611658,-0.03,-0.576,-0.562
23,1620295611658,-0.04,-0.542,-0.565
24,1620295611658,-0.03,-0.578,-0.558
25,1620295611658,-0.12,-0.537,-0.523
26,1620295611658,0.02,-0.545,-0.58
27,1620295611658,-0.01,-0.577,-0.571
28,1620295611658,-0.03,-0.543,-0.558
29,1620295611658,0.0,-0.581,-0.571
30,1620295611659,-0.14,-0.551,-0.522
31,1620295611659,-0.01,-0.538,-0.576
32,1620295611659,0.01,-0.585,-0.568
33,1620295611659,-0.02,-0.557,-0.543
34,1620295611659,0.01,-0.524,-0.556
35,1620295611659,-0.12,-0.543,-0.532
36,1620295611659,-0.06,-0.471,-0.529
37,1620295611659,0.0,-0.537,-0.548
38,1620295611659,-0.06,-0.526,-0.508
39,1620295611659,-0.02,-0.503,-0.541
40,1620295611659,-0.04,-0.517,-0.513
41,1620295611659,-0.12,-0.535,-0.543
42,1620295611660,0.01,-0.579,-0.575
43,1620295611660,-0.05,-0.566,-0.555
44,1620295611660,-0.02,-0.547,-0.571
45,1620295611660,-0.03,-0.572,-0.552
46,1620295611660,-0.1,-0.532,-0.535
